,training,training,training,training,training,training,testing,testing,testing,testing,testing,testing,training
,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,accuracy_score,balanced_accuracy,roc_score,precision,recall,mcc,loss
epoch,,,,,,,,,,,,,
51,0.8993635640413683,0.9180859098280516,0.9180859098280516,0.9191981498333551,0.8993635640413683,0.7724310325800887,0.7785714285714286,0.8144753689601725,0.8144753689601726,0.8463325018539741,0.7785714285714286,0.5547945872876895,0.36579862
52,0.9192521877486078,0.9225897399654915,0.9225897399654914,0.927574654046185,0.9192521877486078,0.8034722366953375,0.7964285714285714,0.7985376373070963,0.7985376373070963,0.8329087301587302,0.7964285714285714,0.5421196533096189,0.34732568
53,0.9212410501193318,0.9218474652678169,0.9218474652678169,0.9281860142996539,0.9212410501193318,0.8061388180039494,0.8,0.810229799851742,0.810229799851742,0.84107289781142,0.8,0.5597712383737787,0.35562596
54,0.931980906921241,0.9191874036611078,0.919187403661108,0.9336008391012501,0.931980906921241,0.823968525529577,0.8035714285714286,0.7707729631376777,0.7707729631376777,0.8173894557823129,0.8035714285714286,0.514126431750864,0.35220215
55,0.9248210023866349,0.9263190953197803,0.9263190953197803,0.9315290138903852,0.9248210023866349,0.8150079559994643,0.8178571428571428,0.8314913403868185,0.8314913403868185,0.8561400402857772,0.8178571428571428,0.5993691887330035,0.3531569
56,0.918854415274463,0.9171378891296693,0.9171378891296693,0.9253223736341724,0.918854415274463,0.7990558349378168,0.8071428571428572,0.8196643978704765,0.8196643978704764,0.8477518669142826,0.8071428571428572,0.5767948016131247,0.37848786
57,0.8524264120922832,0.8882084123350582,0.8882084123350582,0.8964907823485709,0.8524264120922832,0.6953592551464125,0.6821428571428572,0.7638317945953231,0.7638317945953231,0.8292912087912088,0.6821428571428572,0.46030123377357446,0.36432382
58,0.9192521877486078,0.9241453804586464,0.9241453804586462,0.9282019050038279,0.9192521877486078,0.8045930119297298,0.7928571428571428,0.8100950198800458,0.8100950198800458,0.8411573813253895,0.7928571428571428,0.5552801698084036,0.34942847
59,0.9295942720763724,0.9181076553403215,0.9181076553403215,0.9317362764668986,0.9295942720763724,0.8187773976529708,0.8428571428571429,0.8389379338230338,0.8389379338230339,0.8634397348683063,0.8428571428571429,0.6296524426521429,0.3630052
60,0.9327764518695306,0.925424183853288,0.9254241838532881,0.9356328947657274,0.9327764518695306,0.8285653910172889,0.8178571428571428,0.8175416133162612,0.8175416133162612,0.8468911749482402,0.8178571428571428,0.5820877129034632,0.37557048
61,0.9399363564041369,0.9250336009982862,0.9250336009982862,0.9405613049511273,0.9399363564041369,0.8427713559049647,0.8285714285714286,0.8014691016914887,0.8014691016914887,0.8401460810610097,0.8285714285714286,0.5743848291621149,0.34561205
62,0.9323786793953859,0.9251578013279818,0.9251578013279816,0.9353136157915718,0.9323786793953859,0.8276760918518292,0.8357142857142857,0.8341532448278186,0.8341532448278186,0.8593973073100207,0.8357142857142857,0.617327634214401,0.33995193
63,0.94351630867144,0.9289866842191981,0.9289866842191981,0.9439922333500437,0.94351630867144,0.8518806199346949,0.8285714285714286,0.8107689197385268,0.8107689197385267,0.8448522592885644,0.8285714285714286,0.5842942472294377,0.33694857
64,0.9009546539379475,0.9186328930982253,0.9186328930982253,0.9198343284175914,0.9009546539379475,0.7748564341386798,0.7535714285714286,0.7884291394298807,0.7884291394298807,0.8286755952380952,0.7535714285714286,0.5071317869400191,0.33010027
65,0.939538583929992,0.9159519223451029,0.915951922345103,0.9391240935838074,0.939538583929992,0.8389843829131437,0.8428571428571429,0.7877889345643238,0.7877889345643238,0.8414618350946396,0.8428571428571429,0.581086293353542,0.3280092
